Feature,Description,Type,Values
index,row index (starting at 0),int,0-83438
Unnamed: 0,redundant index (starting at 1),int,1-83439
ResponseId,response index (starting at 1),int,1-83439
MainBranch,"Indication of Developer by Hobby, Profession, Student, etc",Category,"I am a developer by profession;I am a student who is learning to code;I am not primarily a developer, but I write code sometimes as part of my work;I code primarily as a hobby;I used to be a developer by profession, but no longer am;None of these"
Employment,"Indication of Full-Time, Part-Time, Retired, Student, etc",Category,"Independent contractor, freelancer, or self-employed;Student, full-time;Employed full-time;Student, part-time;I prefer not to say;Employed part-time;Not employed, but looking for work;Retired;Not employed, and not looking for work;nan"
Country,Country of Origin (participants from 180 of ~200 recognized),Category,"Slovakia;Netherlands;Russian Federation;Austria;United Kingdom of Great Britain and Northern Ireland;United States of America;Malaysia;India;Sweden;Spain;Germany;Peru;Turkey;Canada;Singapore;Brazil;France;Switzerland;Malawi;Israel;Poland;Ukraine;Viet Nam;Portugal;Italy;Bulgaria;Greece;Iran, Islamic Republic of...;Ireland;Georgia;Uzbekistan;Hungary;Belgium;Pakistan;Nigeria;Albania;Bangladesh;Romania;Sri Lanka;Lithuania;Slovenia;Croatia;Czech Republic;Denmark;Armenia;Lebanon;Bahrain;Egypt;Nepal;Colombia;Indonesia;Australia;Turkmenistan;Morocco;Chile;Serbia;New Zealand;Estonia;Tunisia;Finland;Hong Kong (S.A.R.);United Arab Emirates;Argentina;Azerbaijan;Philippines;Costa Rica;South Africa;Kosovo;Japan;United Republic of Tanzania;Bolivia;Bosnia and Herzegovina;Uruguay;South Korea;China;Norway;Belarus;Luxembourg;Malta;Ethiopia;Madagascar;Kenya;The former Yugoslav Republic of Macedonia;Botswana;Algeria;Senegal;Mexico;Cyprus;Venezuela, Bolivarian Republic of...;Cameroon;Jordan;Dominican Republic;Ecuador;Syrian Arab Republic;Zambia;Taiwan;Nomadic;Latvia;Guatemala;Paraguay;Iceland;Haiti;Republic of Moldova;Kazakhstan;Libyan Arab Jamahiriya;Afghanistan;Panama;Côte d'Ivoire;Cuba;Myanmar;Tajikistan;Lao People's Democratic Republic;Yemen;Thailand;Qatar;Democratic Republic of the Congo;Iraq;Mozambique;Somalia;Andorra;Kyrgyzstan;Kuwait;Saudi Arabia;Mauritania;Honduras;Angola;Oman;Swaziland;Sudan;Guyana;Chad;El Salvador;Benin;North Korea;Nicaragua;Dominica;Trinidad and Tobago;Ghana;Barbados;Burundi;Micronesia, Federated States of...;Zimbabwe;Mauritius;Gambia;Bahamas;Congo, Republic of the...;Suriname;Djibouti;Republic of Korea;Bhutan;Cambodia;Uganda;Rwanda;Montenegro;Maldives;Saint Kitts and Nevis;Monaco;Togo;Isle of Man;Jamaica;Belize;Palestine;Mongolia;Burkina Faso;Liechtenstein;Saint Lucia;Cape Verde;Brunei Darussalam;Namibia;Central African Republic;Lesotho;Guinea;Liberia;Fiji;Niger;Sierra Leone;San Marino;Saint Vincent and the Grenadines;Tuvalu;Papua New Guinea;Mali"
EdLevel,Education Level (Highschool through PhD),Category,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.);Bachelor’s degree (B.A., B.S., B.Eng., etc.);Master’s degree (M.A., M.S., M.Eng., MBA, etc.);Other doctoral degree (Ph.D., Ed.D., etc.);Some college/university study without earning a degree;Something else;Professional degree (JD, MD, etc.);Primary/elementary school;Associate degree (A.A., A.S., etc.);nan"
Age1stCode,"Age first program/code, in ranges such as 10-17, 18-25, etc",Category,18 - 24 years;11 - 17 years;5 - 10 years;25 - 34 years;35 - 44 years;Younger than 5 years;45 - 54 years;55 - 64 years;nan;Older than 64 years
LearnCode,How developer first learned to code (eg: online resources or school),multi-cat/string,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Other online resources (ex: videos, blogs, etc);School;Other online resources (ex: videos, blogs, etc);Online Forum;nan;Friend or family member;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;School;Online Courses or Certification;Coding Bootcamp;School;Other online resources (ex: videos, blogs, etc);Other online resources (ex: videos, blogs, etc);School;Friend or family member;Other (please specify):;Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;School;Colleague;School;Friend or family member;Coding Bootcamp;Online Forum;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Other (please specify):;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;School;Online Forum;Other (please specify):;Other online resources (ex: videos, blogs, etc);School;Online Forum;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):;Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague;Friend or family member;Online Courses or Certification;Colleague;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):;Online Courses or Certification;Online Forum;School;Online Forum;Online Courses or Certification;Other (please specify):;Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Friend or family member;Online Courses or Certification;Other (please specify):;Other online resources (ex: videos, blogs, etc);"
YearsCode,Years actively practicing coding/programming,Category,0-50+
YearsCodePro,Years actively practicing coding/programming as a Professional,Category,0-50+
